Question,Answer
"What are the names of the Urdu (UR) faculty members / staff?","Dr. Hassan Rashid, Mrs. Rukhsana Jaffar"
"Who is the HOD / Chairman / Chairperson of the Urdu (UR) dept / department?","Dr. Hassan Rashid, a distinguished figure in Urdu literature, serves as the Head of the Department."
"How many / total / number of faculty members / staff are in the English (ENG) dept / department?","The English Department consists of 10 faculty members."
"What are the names of the English (ENG) faculty members / staff?","The esteemed faculty members of the English department include Dr. Niaz Hussain Soomro, Dr. Zahid Ali, Dr. Quratulain Sardar, Mr. Idrees Shar, Mr. Abdul Sattar Laghari, Mr. Pervaiz Solangi, Mr. Pervaiz Ali Bughio, Ms. Benazir Larik, and Ms. Aisha Faryal. Collectively, they contribute their expertise to diverse areas of English literature, linguistics, and teaching methodologies, fostering an enriching academic environment for students."
"Who is the HOD / Chairman / Chairperson of the English (ENG) dept / department?","The department of English is under the esteemed leadership of Dr. Niaz Hussain Soomro, whose scholarly contributions and academic management have significantly enhanced the department's reputation, providing vision and guidance to both faculty and students alike."
"How many / total / number of faculty members / staff are in the Education (EDU) dept / department?","The Education department proudly comprises 6 highly qualified faculty members, each bringing valuable insights and practical experience in educational theory, pedagogy, and administration."
"What are the names of the Education (EDU) faculty members / staff?","The distinguished faculty members of the Education department include Prof. Dr. Amjad Ali Arain, Dr. Kamal Soomro, Dr. Abdul Nabi Gorchani, Mr. Masood Ahmed Siddiqui, Ms. Sanam Memon, and Ms. Sayeda Sumbul Shah. Their collective expertise spans various domains of educational practice and research, shaping the future educators of tomorrow."
"Who is the HOD / Chairman / Chairperson of the Education (EDU) dept / department?","Prof. Dr. Amjad Ali Arain is at the helm of the Education department, leading with vast experience in educational theory and practice, ensuring the department’s continuous growth and development in academic excellence."
"How many / total / number of faculty members / staff are in the Botany (BOT) dept / department?","The Botany department currently has 2 faculty members, who bring profound expertise in plant sciences and biodiversity, contributing to cutting-edge research and academic programs."
"What are the names of the Botany (BOT) faculty members / staff?","The faculty of the Botany department includes Dr. Altaf Ahmed Simair and Mr. Muhammed Aqil, who are well-regarded for their research and teaching in plant biology, ecology, and conservation."
"Who is the HOD / Chairman / Chairperson of the Botany (BOT) dept / department?","The Botany department is chaired by Dr. Altaf Ahmed Simair, an accomplished academic whose leadership and research in plant sciences guide the department towards scientific advancement and academic distinction."
"How many / total / number of faculty members / staff are in the Information Technology (IT) dept / department?","There are 11 faculty members in the Information Technology department, each specializing in a range of technological fields, from software engineering to data science and cybersecurity."
"What are the names of the Information Technology (IT) faculty members / staff?","The IT department boasts a diverse and highly skilled faculty, including Prof. Dr. Imtiaz Brohi, Dr. Sheeba Memon, Engr. Dr. Allah Rakhio Junejo, Engr. Naeem Ahmed, Mr. Ahmed Asgar, Miss Ufaque Shaikh, Mr. Muhammed Wasim, Miss Iqra Kanwal Lakho, Ms. Madiha, Mr. Hakim Ali Junejo, and Mr. Zulfiqar Gul Shaikh. Together, they drive innovation and academic excellence in IT education."
"Who is the HOD / Chairman / Chairperson of the Information Technology (IT) dept / department?","Prof. Dr. Imtiaz Brohi serves as the Chairperson of the Information Technology department, where his leadership and forward-thinking approach inspire both the faculty and students in their pursuit of excellence in the IT field."
"How many / total / number of faculty members / staff are in the Political Science (PS) dept / department?","The Political Science department comprises 5 faculty members who are deeply engaged in the study of political systems, governance, and international relations."
"What are the names of the Political Science (PS) faculty members / staff?","The distinguished faculty members in the Political Science department include Dr. Abdul Razzak Larik, Dr. Shahnawaz Mangi, Mr. Jamshed Ali Shah, Ms. Mubasharah, and Mr. Tufail Asghar Chandio, each of whom contributes to the department’s robust academic and research programs."
"Who is the HOD / Chairman / Chairperson of the Political Science (PS) dept / department?","The department is led by Dr. Abdul Razzak Larik, whose extensive expertise in political theory and governance provides insightful leadership and academic direction."
"How many / total / number of faculty members / staff are in the Microbiology (MB) dept / department?","The Microbiology department consists of 2 faculty members who specialize in the study of microorganisms and their applications in health, industry, and the environment."
"What are the names of the Microbiology (MB) faculty members / staff?","The Microbiology faculty members include Mr. Asim Patrick and Mr. Abdul Sami Dahiri, who are known for their contributions to research and teaching in microbial biology and biotechnology."
"Who is the HOD / Chairman / Chairperson of the Microbiology (MB) dept / department?","At present, the Microbiology department does not have a designated chairperson."
"How many / total / number of faculty members / staff are in the Zoology (Zoo) dept / department?","The Zoology department is comprised of 6 faculty members, each an expert in various aspects of animal biology, ecology, and conservation."
"What are the names of the Zoology (Zoo) faculty members / staff?","The Zoology department faculty includes Prof. Dr. Abdul Manan Shaikh, Dr. Bhojoo Mal, Dr. Shakeel Ahmed Memon, Mr. Dhani Bux Mashori, Dr. Aiman Amur, and Dr. Bakhtawar Soomro. Together, they are at the forefront of research and education in zoology."
"Who is the HOD / Chairman / Chairperson of the Zoology (Zoo) dept / department?","The department is led by Prof. Dr. Abdul Manan Shaikh, a distinguished academic whose research in animal sciences has garnered both national and international recognition."
"How many / total / number of faculty members / staff are in the Chemistry (CHEM) dept / department?","The Chemistry department has 7 faculty members, all of whom are deeply involved in advancing both theoretical and practical knowledge in the field of chemical sciences."
"What are the names of the Chemistry (CHEM) faculty members / staff?","The Chemistry faculty comprises Dr. Asif Ali Bhatti, Dr. Naseem-Ul-Ghani Qureshi, Dr. Mazhar Iqbal Khaskheli, Dr. Asghar Ali, Dr. Tahira, Ms. Mahnoor Saleem, and Miss Laiba. Each of these educators and researchers contributes significantly to the department’s academic and scientific output."
"Who is the HOD / Chairman / Chairperson of the Chemistry (CHEM) dept / department?","The Chemistry department is chaired by Dr. Asif Ali Bhatti, whose leadership and academic contributions are well-regarded in the field of chemical research and education."
"How many / total / number of faculty members / staff are in the Business Administration (BBA) dept / department?","The Business Administration department has 8 dedicated faculty members, each bringing a wealth of experience in various areas of business, finance, and management."
"What are the names of the Business Administration (BBA) faculty members / staff in the Physics (PHY) dept / department?","The Business Administration faculty includes Dr. M. Najam Shaikh, Dr. Barkat Ali Laghari, Mr. Abdul Sajid, Mr. Qadir Bakhsh Yasir, Mr. Muhammed Adnan, Mr. Muhammed Hassan Qureshi, Mr. Muhammed Ameen, and Mr. Muhammed Ahsan. These faculty members play a pivotal role in shaping future business leaders and professionals."
"Who is the HOD / Chairman / Chairperson of the Physics (PHY) dept / department?","Dr. M. Najam Shaikh is the chairperson of the Physics department, providing leadership that fosters both theoretical and experimental advancements in the field of physics."
"How many / total / number of faculty members / staff are in the Islamic Studies (IS/ISL) dept / department?","There are 3 faculty members in the Islamic Studies department, each committed to teaching and research in Islamic philosophy, jurisprudence, and history."
"What are the names of the Islamic Studies (IS/ISL) faculty members / staff?","The esteemed faculty members of the Islamic Studies department include Dr. Makhdoom Roshan Siddiqui, Dr. Adnan Malik, and Mr. Hafeez-Ur-Rehman Rajput, each of whom brings a profound understanding of Islamic teachings and scholarship."
"Who is the HOD / Chairman / Chairperson of the Islamic Studies (IS/ISL) dept / department?","The department is led by Dr. Makhdoom Roshan Siddiqui, whose knowledge and expertise in Islamic Studies provide excellent academic leadership."
"How many / total / number of faculty members / staff are in the Sindhi (SIN) dept / department?","The Sindhi department has 1 faculty member who is committed to the promotion and preservation of the Sindhi language and culture."
"What are the names of the Sindhi (SIN) faculty members / staff?","Dr. Shafique Ahmed Shahani, the sole faculty member of the Sindhi department, is highly esteemed for his contributions to the study and promotion of the Sindhi language, literature, and culture."
"Who is the HOD / Chairman / Chairperson of the Sindhi (SIN) dept / department?","Dr. Shafique Ahmed Shahani, as both a faculty member and the Chairperson, leads the Sindhi department, ensuring the preservation and advancement of Sindhi linguistic and cultural studies."
"How many / total / number of faculty members / staff are in the Mathematics (MATH) dept / department?","The Mathematics department consists of 7 faculty members who are deeply engaged in teaching and research across various fields of mathematics, ranging from pure to applied mathematics."
"What are the names of the Mathematics (MATH) faculty members / staff?","The distinguished faculty members of the Mathematics department include Dr. Kamran Malik, Dr. Mushtaque Shaikh, Dr. M. Ilyas, Dr. Khalid Hussain, Mr. Muhammed Saleem Laghari, Mr. Muhammed Ashraf Ali, Mr. Zohaib Soomro, and Mr. Ritesh Walecha, all of whom are committed to advancing the study of mathematics."
"Who is the HOD / Chairman / Chairperson of the Mathematics (MATH) dept / department?","Dr. Kamran Malik, a renowned scholar in mathematics, serves as the Chairperson of the Mathematics department, providing visionary leadership and promoting research excellence within the field."
"How many / total / number of faculty members / staff are in the Business Administration (BBA) dept / department?","The Business Administration department consists of 5 faculty members who bring a wealth of experience and expertise in areas such as management, finance, and entrepreneurship."
"What are the names of the Business Administration (BBA) faculty members / staff?","The esteemed faculty members of the Business Administration department include Dr. Agha Ahmed Nabi, Mr. Dodo Khan Alias Khalid, Dr. Muhammed Shoaib Khan, Mr. Amanullah Parhyar, Mr. Ali Raza Zaidi, Ms. Hina Ahmed, and Mr. Zubair Akbar Khan. These individuals are dedicated to providing students with a comprehensive understanding of business practices and theory."
"Who is the HOD / Chairman / Chairperson of the Business Administration (BBA) dept / department?","Dr. Agha Ahmed Nabi, as the Chairperson of the Business Administration department, offers strategic guidance and academic leadership, driving the department toward innovation and business education excellence."
